id,nome,categoria,price_cadastrado_from,price_cadastrado_to,preco_real_encontrado,status,price_corrigido_from,price_corrigido_to,observacao
68,Robô Aspirador Anker eufy X10 Pro 4 em 1 Sucção 8000Pa IA Evita Obstáculos Mapeamento AI.Map 3.0 Lava Seca Esvazia Reabastece Água Escovas Antiembaraço Navegação Laser Limpeza Silenciosa Ideal Pet220V,Robôs,7999.0,4004.1,4849.0,corrigido,7999.0,4849.0,fonte=meli
67,Robô De Limpeza Wap Robot W500 Policleaner,Robôs,1399.0,719.91,800.91,corrigido,1399.0,800.91,fonte=meli
66,Robô Aspirador de Pó 3 em 1 – Varre Aspira e Passa Pano com Lds Mapeamento Lydsto R1D Compatível com XiaoMi Home,Robôs,3500.0,1217.7,1230.0,correto,,,
65,Arno X-PERT 7.60 Aspirador Versátil Sem Fio Bateria Removível RH6A Bivolt,Portáteis,719.28,719.28,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
64,Arno X-FORCE FLEX 9.60 Aqua Aspirador Versátil Sem Fio com Tubo Flexível XF9A Bivolt,Portáteis,1819.0,1249.99,,não_verificado,,,não foi possível extrair preço da página
63,Arno X-CLEAN 4 Limpadora de Pisos Vertical Sem Fio 2 em 1 LXC4 Bivolt,Vertical,2849.04,2849.04,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
62,Velds Robô Aspirador V50 PRO Base Autolimpante Mop Duplo Giratório 10000Pa 127V,Robôs,2449.99,2327.49,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
61,Robô Aspirador de Pó X600 com Mapeamento a Laser 3000Pa e Passa Pano,Robôs,1199.0,1199.0,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
60,Philips Walita Aspirador de Pó Vertical com Mop Série 3000 XC3133/01,Vertical,1999.9,1329.91,1329.91,correto,,,
59,Britânia Aspirador de Pó Vertical BAS1500V Filtro Ciclone 1500W 220V,Vertical,249.0,153.49,147.9,correto,,,
58,Electrolux Aspirador de Pó Vertical Ergorapido 2 em 1 ERG24N 30min Bivolt,Vertical,1099.99,759.0,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
57,Mondial Aspirador de Pó Hepa Turbo AP-15 1500W 110V,Aspiradores,439.9,246.05,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
56,Philco Aspirador Robô PAS23 3 em 1 com MOP Bivolt Anticolisão,Robôs,699.9,484.4,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
55,Electrolux Aspirador de Pó Sem Saco Ease C4 EAS40 1600W Cyclonic Power Filtro HEPA 127V,Aspiradores,729.9,539.9,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
54,"Kärcher Aspirador WDL 1s 3 em 1 Pó, Água e Soprador 1700W Tanque Inox 110V",Profissionais,479.0,323.91,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
53,"WAP Robô Aspirador de Pó ROBOT W100 3 em 1, Automático, 250ml, Bivolt",Robôs,799.9,648.87,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
52,Philco Aspirador de Pó Vertical Power Clean PAS4000V 2000W 220V,Vertical,434.9,234.99,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
51,Midea Aspirador de Pó Vertical 2 em 1 1350W Preto e Azul 220V,Vertical,209.0,141.45,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
50,Electrolux Aspirador de Pó sem Saco Easybox Bocal Pet EAS41 1800W Filtro HEPA 220V,Aspiradores,952.0,661.93,720.39,correto,,,
49,Electrolux Aspirador de Pó Vertical Ergorapido 2 em 1 ERG25N 38min Bivolt Azul,Vertical,1299.0,759.9,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
48,Kärcher Aspirador de Pó Vertical 2 em 1 VCL 2 com Filtro HEPA 127V,Vertical,399.0,224.91,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
